director,director_score
Gore Verbinski,5
Alejandro Amenábar,5
Trey Parker,5
George Tillman Jr.,5
Majid Majidi,3
Anthony Waller,3
Robert Kurtzman,4
Brett Ratner,5
Jeb Stuart,0
Kasi Lemmons,3
Kiyoshi Kurosawa,3
Félix Enríquez Alcalá,0
Don Roos,4
Rob Sitch,4
Shuki Levy,3
Griffin Dunne,3
Theodore Witcher,3
David Evans,1
Peter O'Fallon,0
Sean Mathias,3
Erik Skjoldbjærg,3
Ole Bornedal,5
Mark Pavia,0
John Nicolella,0
Paul Miller,0
Ronny Yu,5
Vondie Curtis-Hall,0
Robert Duvall,4
James F. Robinson,3
Sammo Kam-Bo Hung,4
Steve James,0
Mark Dindal,5
Sam Pillsbury,3
Thomas Jahn,1
Mark Waters,5
Nick Cassavetes,5
Kevin Allen,0
Andy Cadiff,0
Mark Pellington,4
Bob Koherr,1
Stephen Kay,0
Tom Schulman,3
William Nicholson,3
Michael Davis,0
Andy Wilson,0
Neil LaBute,4
Robert Downey Sr.,1
Lionel C. Martin,4
John Patrick Kelley,1
Tony Kaye,3
Guy Ritchie,5
Nancy Meyers,5
Frank Coraci,5
Tony Bancroft,5
Terrence Malick,5
Gary Ross,5
Harry Elfont,0
Brenda Chapman,5
Randall Wallace,5
Thomas Vinterberg,4
Jamie Blanks,4
Darren Aronofsky,5
Shekhar Kapur,4
Mark Christopher,3
Peter Howitt,5
Vincent Gallo,0
David Nutter,3
Tom Tykwer,5
Eric Darnell,5
Christopher Nolan,5
Gaspar Noé,0
Karan Johar,5
Lance Mungia,0
Cédric Kahn,0
James Merendino,3
Antoine Fuqua,5
Gérard Pirès,0
Bob Saget,0
Peter Berg,5
François Girard,0
Kunihiko Yuyama,5
Hype Williams,3
Kirk Jones,5
Frederik Du Chau,5
Lukas Moodysson,4
Sarah Kernochan,3
Pat Proft,4
Mark Steven Johnson,5
Skip Woods,1
Troy Miller,0
Jonathan Darby,0
Kevin Rodney Sullivan,5
John Warren,0
Lisa Cholodenko,4
Willard Carroll,0
Igor Kovalyov,5
Ice Cube,4
Alan Cohn,3
Walter Salles,5
M. Night Shyamalan,5
Chris Eyre,3
Sean McNamara,4
Julio Medem,3
Dean Semler,0
Tamara Jenkins,4
John Pieplow,0
Hirokazu Koreeda,5
Steve Gomer,0
David Veloz,3
Steve Boyum,0
Predrag Antonijevic,0
Hirotsugu Kawasaki,1
David Dobkin,5
David Moreton,3
Neil Abramson,0
Paul McGuigan,3
Larry David,1
Nicole Garcia,3
Rodney Gibbons,1
Jake Kasdan,5
Tony Cinciripini,0
Dean Parisot,5
Joe Gayton,0
Paul Weitz,5
Sam Mendes,5
George Lucas,5
Gil Junger,4
Mike Judge,3
Roger Michell,5
Roger Kumble,5
Daniel Myrick,5
Sofia Coppola,5
Rob Minkoff,5
Troy Duffy,0
Robert Iscove,5
Chris Buck,5
Spike Jonze,4
Brad Bird,5
Kinka Usher,0
Mike Mitchell,5
Michael Patrick Jann,0
Kimberly Peirce,4
Jamie Babbit,3
Darren Stein,0
Tony Goldwyn,3
Brian Helgeland,5
Lynne Ramsay,4
David Koepp,4
Kevin Williamson,0
Josef Rusnak,3
John Schultz,4
Justin Kerrigan,1
John Bruno,0
Bruce McCulloch,0
Malcolm D. Lee,5
Tim Roth,3
Julie Taymor,4
Anne Wheeler,3
Michael Cristofer,0
Mic Rodgers,0
Bruno Dumont,3
Risa Bramon Garcia,3
Claude Zidi,3
Rand Ravich,0
Tim Hill,5
Rick Famuyiwa,4
Jeff Franklin,0
Gary Halvorson,0
Michael Corrente,3
Mark Tarlov,0
Takao Okawara,0
Damien O'Donnell,3
Michael Haigney,5
Louis Morneau,3
Colette Burson,1
Damon Santostefano,0
Martha Fiennes,0
Hiroyuki Okiura,1
Chris Roberts,0
Peter Ho-Sun Chan,4
Gary Sinyor,0
Michael Rymer,4
Antonio Banderas,0
Rolf Schübel,3
Scott Silver,0
Mike Barker,0
Peter Kassovitz,0
Jake Scott,3
Jean-Pierre Dardenne,3
Jim Fall,4
Shane Meadows,3
Frédéric Fonteyne,3
Max Färberböck,3
Scott Elliott,3
Hampton Fancher,3
Lloyd Kaufman,0
Alison Maclean,0
Mark Illsley,0
Frank Whaley,1
David McNally,5
McG,5
Todd Phillips,5
Peyton Reed,5
Peter Lord,5
Tarsem Singh,5
James Wong,5
Jonathan Glazer,3
Danny Leiner,5
John Fawcett,0
Stephen Daldry,5
Alejandro G. Iñárritu,5
Bibo Bergeron,5
Asia Argento,3
Eric Leighton,5
Steve Carr,5
Ben Younger,4
Matt Williams,4
Gina Prince-Bythewood,4
Tom Dey,5
Virginie Despentes,3
Patrick Lussier,4
Antony Hoffman,0
Courtney Solomon,0
Chris Koch,4
Joe Charbanic,4
Andrzej Bartkowiak,5
Andrew Dominik,3
Edward Norton,4
Joe Berlinger,4
Kenneth Lonergan,5
Diane Keaton,0
Edward Yang,3
Kris Isacsson,4
Christopher McQuarrie,5
Des McAnuff,0
E. Elias Merhige,3
Britt Allcroft,3
Bonnie Hunt,4
David Raynr,0
Miguel Arteta,5
Joan Chen,4
Ed Harris,4
Vic Sarin,3
Valerie Breiman,3
Robert Lee King,0
Nigel Cole,5
Michael Almereyda,1
Kim Ki-duk,4
François Ozon,5
Joel Hershman,3
Douglas Aarniokoski,0
John Ottman,4
Fina Torres,3
Jack Fletcher,3
Béla Tarr,1
Rod Lurie,0
Fabián Bielinsky,4
Greg Berlanti,5
Karyn Kusama,3
Bill Eagles,3
Davis Guggenheim,0
Jay Russell,5
João Pedro Rodrigues,3
Kamal Haasan,3
Stig Bergqvist,5
Michael Haneke,4
Denis Villeneuve,5
Gérard Krawczyk,5
Roy Andersson,1
Silvio Soldini,4
Dominic Anciano,1
Sally Field,0
Mark Piznarski,0
Jun Falkenstein,4
Craig Mazin,4
Janusz Kaminski,0
Rakesh Roshan,0
Del Shores,3
Samantha Lang,1
Ye Lou,0
Chuck Parello,0
Eric Blakeney,0
Thomas Bezucha,5
Robert Luketic,5
Pete Docter,5
Richard Kelly,0
Joel Gallen,4
Andrew Adamson,5
Terry Zwigoff,4
Jay Chandrasekhar,5
Steve Beck,5
Dennie Gordon,4
Michael Tollin,3
David Wain,5
Marc Forster,5
John Moore,5
Sharon Maguire,5
J.B. Rogers,5
Bill Paxton,0
Luke Greenfield,5
Jesse Dylan,5
Demian Lichtenstein,0
Christophe Gans,5
Daniel Sackheim,0
Adam Shankman,5
Brad Anderson,4
Brendan Malloy,0
John Cameron Mitchell,3
Tom Green,3
Takashi Miike,4
Gregory Poirier,4
Todd Field,4
Louis C.K.,0
Blair Hayes,0
Stephen Chow,5
John A. Davis,5
Tommy O'Haver,0
Éva Gárdos,3
Jordan Melamed,1
Ashutosh Gowariker,3
Hironobu Sakaguchi,0
Léa Pool,3
Francine McDougall,0
Lawrence Guterman,5
Chris Nahon,4
Henry Bean,0
Farhan Akhtar,3
Barry Skolnick,3
Oliver Hirschbiegel,4
Richard Eyre,4
Caroline Link,4
John Stockwell,4
Danis Tanovic,3
Gregor Jordan,0
Alan Cumming,3
Paddy Breathnach,3
Tim Blake Nelson,4
Jez Butterworth,3
Michel Gondry,5
Jon Favreau,5
Harald Zwart,5
Charles Herman-Wurmfeld,5
Brian Koppelman,4
Michael Cuesta,4
DJ Pooh,3
Chris Weitz,5
Mark Brown,3
Rintaro,0
Billy Morrissette,3
Maria Ripoll,3
Nicole Holofcener,4
Lucrecia Martel,3
Rob Pritts,4
Jacques Audiard,4
Chuck Sheetz,4
Mitch Davis,0
David Atkins,0
Fernando Meirelles,5
Steven Shainberg,0
Tom Brady,4
Chris Wedge,5
Dean DeBlois,5
Rob Marshall,5
Kurt Wimmer,0
Louis Leterrier,5
Walt Becker,5
Kelly Asbury,5
George Clooney,5
Ellory Elkayem,4
Mark Romanek,4
Eli Roth,5
Jean-Claude Brisseau,3
Ed Decter,4
Sanjay Leela Bhansali,5
Andrew Lau,5
Denzel Washington,4
Jonas Åkerlund,0
Park Chan-Wook,5
Marc Lawrence,5
Justin Lin,5
Shawn Levy,5
Perry Andelin Blake,4
Charles Stone III,4
Marcus Raboy,4
John Lee Hancock,5
Alain Chabat,5
Lucky McKee,0
Jesse Vaughan,0
Callie Khouri,4
Kevin Donovan,4
John Polson,5
Burr Steers,5
Peter Kosminsky,3
D.J. Caruso,5
Takashi Shimizu,5
Tim Story,5
Niki Caro,4
Joe Carnahan,5
Mort Nathan,0
Peter Mullan,4
Michael Lembeck,5
Dewey Nicks,0
Wallace Wolodarsky,3
Peter Hastings,0
Kevin Bray,4
Stephen Gaghan,5
Cédric Klapisch,4
Anthony Abrams,3
Robin Budd,5
Aleksandr Sokurov,3
Mars Callahan,0
Jaume Balagueró,4
Bob Dolman,4
Cathy Malkasian,4
Paul Greengrass,5
Seth Kearsley,0
Don Michael Paul,3
Susanne Bier,0
Wych Kaosayananda,0
Patricia Cardoso,3
John Stainton,4
Austin Chick,1
Nicolas Cage,3
Richard Curtis,5
Len Wiseman,5
Bong Joon Ho,5
Andrew Stanton,5
Catherine Hardwicke,5
Rob Schmidt,4
Patty Jenkins,5
Tommy Wiseau,0
Marcus Nispel,5
Clark Johnson,5
Rob Zombie,5
Tim McCanlies,4
Chris Kentis,4
Peter Webber,4
Bo Welch,4
Aaron Blaise,5
Audrey Wells,4
Alexandre Aja,5
Jonathan Liebesman,5
Bille Woodruff,5
James Cox,0
Patrick Gilmore,4
Uwe Boll,0
Vadim Perelman,0
Tom McCarthy,5
Wolfgang Becker,5
Casey La Scala,0
Prachya Pinkaew,4
Billy Ray,4
Wayne Kramer,0
Nikkhil Advani,4
Bruno Barreto,0
Andrey Zvyagintsev,4
David Mackenzie,4
Mikael Håfström,5
Sylvain Chomet,3
Je-yong Lee,3
David Hillenbrand,3
Stephen Fry,3
Yann Samuell,3
Paul Hunter,0
Reggie Rock Bythewood,0
Anders Thomas Jensen,3
Gordon Chan,0
Shari Springer Berman,4
Fenton Bailey,0
Glen Morgan,3
Troy Byer,4
Marco Tullio Giordana,3
C. Jay Cox,1
Linda Mendoza,4
Tim Fywell,4
Todd Graff,3
Steve Trenbirth,5
John Crowley,4
David Gordon Green,5
Richard Kwietniowski,0
Chris Rock,4
Peter Hedges,5
Anne Fontaine,4
Damian Nieman,0
Christine Jeffs,4
John Eng,4
Andrew Black,3
Ryan Little,3
Isabel Coixet,4
John Hoffman,4
Matthew Ryan Hoge,3
Clare Kilner,4
Larry Charles,5
Nimród Antal,5
Jeff Schaffer,0
Rawson Marshall Thurber,5
James Wan,5
Jonathan Hensleigh,4
Edgar Wright,5
Pawel Pawlikowski,4
Eric Bress,5
Matthew Vaughn,5
Jared Hess,5
Gary Winick,5
Paul Haggis,5
Zack Snyder,5
Alexander Witt,5
Adam McKay,5
David S. Goyer,5
Shane Carruth,3
John Hamburg,5
Cate Shortland,3
Stephen Hillenburg,5
Ethan Coen,5
Terry George,3
Zach Braff,5
Pitof,0
Don Mancini,4
Joseph Kahn,3
Joe Nussbaum,0
Gavin O'Connor,5
Sara Sugarman,4
Kerry Conran,0
Omar Naim,3
Pierre Morel,5
Brian Dannelly,3
Shainee Gabel,3
Jacob Estes,3
Guy Ferland,3
Angela Robinson,5
Jessy Terrero,0
Tod Williams,5
Anurag Kashyap,3
Christopher Erskin,4
Christophe Barratier,5
Nicole Kassell,3
Fruit Chan,3
Will Finn,4
Timur Bekmambetov,5
Laurence Dunmore,4
Christophe Honoré,3
Chris Stokes,4
Kevin Spacey,0
Charles Dance,4
Michael Clancy,0
Dennis Gansel,5
Alice Wu,3
Yash Chopra,0
Nick Hurran,0
Joshua Marston,4
Michael Dowse,3
Bart Freundlich,3
Farah Khan,4
Je-kyu Kang,4
Ziad Doueiri,3
Masaaki Yuasa,1
Kay Pollak,4
Sanjay Gadhvi,3
Robert C. Ramirez,3
Marco Kreuzpaintner,3
Judd Apatow,5
Joe Wright,5
Neil Marshall,4
Frank Miller,5
James McTeigue,5
Francis Lawrence,5
Garth Jennings,5
Lexi Alexander,0
Joss Whedon,5
Rob McKittrick,4
Jean-François Richet,3
David Slade,5
Jaume Collet-Serra,5
Shane Black,5
Dave McKean,0
Darren Lynn Bousman,5
Robert Schwentke,5
Andrew Douglas,5
Breck Eisner,5
Rian Johnson,5
Greg McLean,4
Scott Derrickson,5
Susan Stroman,0
Barry W. Blaustein,4
Bruce Hunt,3
Ol Parker,5
Bennett Miller,5
Hideo Nakata,5
Hunter Richards,1
Mike Bigelow,4
David Ayer,5
Darren Grant,4
Steve Box,5
John Maybury,0
Jason Reitman,5
Julian Jarrold,4
John Turturro,3
Florent-Emilio Siri,4
Cory Edwards,5
Tommy Lee Jones,0
John Gulager,3
Jeff Wadlow,5
John Hillcoat,4
Craig Brewer,4
Richard Shepard,0
Rebecca Miller,0
Geoffrey Sax,5
Niall Johnson,4
Miranda July,3
Duncan Tucker,4
Andy Garcia,0
Arie Posin,0
Gary Chapman,4
Phil Morrison,3
Carlos Reygadas,3
Mark Levin,3
John Gatins,3
Bent Hamer,3
Sturla Gunnarsson,1
Christian Carion,4
John Asher,1
Liev Schreiber,0
Mike Mills,4
Andy Fickman,5
Gabriele Muccino,5
Jonathan Dayton,5
Kevin Macdonald,5
Florian Henckel von Donnersmarck,5
J.J. Abrams,5
Steve Pink,4
James Gunn,5
Sean Ellis,3
Nicholaus Goossen,3
Liam Lynch,0
Jessica Bendinger,4
Anne Fletcher,5
Mark Neveldine,5
Neil Burger,5
Tim Johnson,5
Elizabeth Allen Rosenbaum,4
Stefen Fangmeier,5
Gil Kenan,5
Greg Coolidge,4
David Bowers,5
Werner Herzog,0
Susannah Grant,0
Guillaume Canet,4
Alejandro Agresti,5
Neil Armfield,3
Mark Palansky,3
Carlos Saldanha,5
William Brent Bell,5
David Von Ancken,0
Ericson Core,4
Adam Green,3
Tyler Perry,5
John Bonito,3
John Curran,3
Bob Odenkirk,0
George Hickenlooper,0
Doug Atchison,4
Michael O. Sajbel,3
Joachim Trier,0
Aaron Seltzer,4
Anthony Russo,5
Matthew O'Callaghan,4
Gorô Miyazaki,5
Michael Mayer,3
James Gartner,4
Goran Dukic,0
Gregory Dark,4
Allen Coulter,4
Michel Hazanavicius,5
Chris Robinson,3
Scott Glosserman,1
Ryan Fleck,3
Steve 'Spaz' Williams,4
Jonathan King,3
Liz Friedlander,4
Rakeysh Omprakash Mehra,4
Jim Sonzero,3
Jody Hill,3
Michael Polish,0
Tom Vaughan,5
Nick Guthe,0
Todd Robinson,0
Dito Montiel,4
Colin Brady,0
Christopher Smith,3
Katherine Brooks,0
Nicholas Mastandrea,3
Wil Shriner,0
Ben Affleck,5
David Yates,5
Juan Carlos Fresnadillo,4
Xavier Gens,5
Akiva Schaffer,3
Gabor Csupo,5
Josh Gordon,5
Ash Brannon,4
Joby Harold,4
Simon J. Smith,5
Colin Strause,5
Chris Miller,5
Mark Helfrich,4
David Ross,1
Nacho Vigalondo,0
Jason Friedberg,5
Stephen J. Anderson,4
Tony Gilroy,5
Oren Peli,5
Richard LaGravenese,5
Craig Gillespie,4
J.A. Bayona,5
Mennan Yapo,4
David Silverman,5
Mitchell Lichtenstein,3
Aamir Khan,4
Steve Bendelack,5
Scott Wiper,3
Kirsten Sheridan,4
Robert Ben Garant,4
Anton Corbijn,5
Scott Frank,4
Olivier Dahan,4
John Carney,5
Philip G. Atwell,4
Adrienne Shelly,4
David L. Cunningham,0
Kevin Munroe,4
Martin Weisz,4
Jonah Markowitz,3
Dave Meyers,4
José Padilha,5
Danny Pang,4
Céline Sciamma,4
Franck Khalfoun,3
Vincent Paronnaud,4
John August,3
Chris Sivertson,0
Zach Helm,3
Sebastian Gutierrez,3
Thor Freudenthal,5
Cristian Mungiu,4
Daniel Waters,0
Jon Poll,0
Doug Lefler,0
Masayuki,4
Sergei Bodrov,4
Taika Waititi,5
Alan Ball,3
Stefan Ruzowitzky,3
Jeff Nichols,4
Jonathan Kasdan,3
George Ratliff,3
Imtiaz Ali,4
Gavin Hood,5
Michael Katleman,4
Bernie Goldmann,3
Sylvain White,5
Deborah Kampmeier,0
J.P. Schaefer,3
Robin Swicord,3
Mark Osborne,5
Phyllida Lloyd,5
Bryan Bertino,5
Nicholas Stoller,5
Martin McDonagh,5
Michael Patrick King,5
Fred Wolf,4
Saul Dibb,4
James Watkins,5
Carter Smith,4
Justin Chadwick,4
Eric Brevig,5
Ric Roman Waugh,5
Byron Howard,5
Sean Anders,5
Tomas Alfredson,5
Nick Moore,3
Charlie Kaufman,0
Peter Sollett,4
Jon M. Chu,5
Kent Alterman,0
Howard McCain,0
David Hackl,5
Bharat Nalluri,4
Steve McQueen,5
Jimmy Hayward,5
Diane English,4
Clark Gregg,3
Ryûhei Kitamura,0
Pete Travis,5
Tom Putnam,3
Robert B. Weide,0
Olivier Megaton,5
Nelson McCormick,4
Dave Filoni,4
Jon Hurwitz,5
Michael McCullers,4
Jennifer Flackett,4
John Erick Dowdle,5
George C. Wolfe,4
Seth Gordon,5
Sanaa Hamri,4
Shamim Sarif,1
Matteo Garrone,4
Jee-woon Kim,4
Rodrigo García,0
Masayuki Ochiai,4
Marcel Langenegger,0
A.R. Murugadoss,4
Olly Blackburn,3
David Moreau,4
Marco Schnabel,0
Chris Carter,4
Frédéric Forestier,5
Eric Valette,4
Alex Kendrick,5
Jeffrey Nachmanoff,0
Darnell Martin,0
Bruce McDonald,0
Ari Folman,4
Yôjirô Takita,5
Guillermo Arriaga,0
Sam Fell,4
Marc Schölermann,0
Marcos Siega,3
Mabrouk El Mechri,0
Tony Leondis,5
Jonathan Levine,5
Courtney Hunt,3
S.R. Bindler,0
Joel Hopkins,4
Ruben Fleischer,5
Marc Webb,5
Neill Blomkamp,5
Rajkumar Hirani,5
Kyle Newman,0
Duncan Jones,5
Tom Six,3
Jaco Van Dormael,0
Will Gluck,5
Yorgos Lanthimos,5
Drew Barrymore,3
Juan José Campanella,4
Christian Alvart,0
Rob Letterman,5
Patrick Tatopoulos,4
Peter Billingsley,5
Dennis Iliadis,4
Niels Arden Oplev,5
Stewart Hendler,4
Lee Daniels,5
Phil Lord,5
Ricky Gervais,4
Olatunde Osunsanmi,4
Marcus Dunstan,3
Grant Heslov,4
Tom Ford,4
Philippe Diaz,1
Derrick Borte,0
Michael Spierig,5
Lone Scherfig,5
Scott Cooper,5
Charles Guard,4
Shane Acker,4
Jean-Marc Vallée,5
Kevin Greutert,4
Andrea Arnold,3
Agnieszka Wojtowicz-Vosloo,0
Steve Shill,4
Cheryl Hines,3
Phil Traill,4
Sam Taylor-Johnson,5
Daniel Alfredson,5
Peter Cornwell,4
Glenn Ficarra,5
Scott Sanders,0
Armando Iannucci,4
Asghar Farhadi,4
Kevin Tancharoen,4
Luca Guadagnino,4
Ti West,0
David Pastor,3
Hoyt Yeatman,5
Brandon Camp,4
Daniel Barber,3
John Hindman,1
Jorge Blanco,4
Cary Joji Fukunaga,4
Raymond De Felitta,3
Tommy Wirkola,5
Mamoru Hosoda,4
Oren Moverman,0
Rick Jacobson,3
Kieran Mulroney,1
Tomm Moore,0
J Blakeson,5
Neal Brennan,3
Zach Cregger,0
Michel Franco,1
Tom Hooper,5
Francesca Gregorini,0
Jordan Scott,1
Jim Field Smith,4
Gareth Edwards,5
Nathan Greno,5
Steven R. Monroe,0
Steve Antin,4
Pierre Coffin,5
Derek Cianfrance,4
Joseph Kosinski,5
Lee Unkrich,5
Ethan Maniquis,4
Tom McGrath,5
Ryan Murphy,5
David Michôd,0
Rodrigo Cortés,4
Scott Stewart,5
Debra Granik,4
Samuel Bayer,5
John Luessenhop,5
Eli Craig,3
Anna Boden,5
Anand Tucker,4
Christopher Morris,3
Floria Sigismondi,0
Jorma Taccone,0
Panos Cosmatos,0
Apichatpong Weerasethakul,3
Jeong-beom Lee,4
André Øvredal,5
Hiromasa Yonebayashi,5
Richard Ayoade,3
Julie Anne Robinson,4
Quentin Dupieux,0
Susanna White,4
Andrew Jarecki,3
Nanette Burstein,4
Wilson Yip,5
Miguel Sapochnik,0
Casey Affleck,3
Larysa Kondracki,3
Sang-soo Im,4
David Schwimmer,0
Massy Tadjedin,4
John Wells,4
Jay Duplass,3
Daniel Stamm,4
Abe Sylvia,0
William Monahan,0
Baran bo Odar,3
Alan Poul,4
Dallas Jenkins,3
Vikramaditya Motwane,3
Troy Nixey,4
Shana Feste,4
Daniel Espinosa,5
Jim Mickle,0
Richard J. Lewis,0
Malcolm Venville,0
Gilles Paquet-Brenner,4
Sngmoo Lee,0
Spencer Susser,0
Nick Tomnay,0
Mitch Glazer,0
Dan Rush,0
Paul Feig,5
Olivier Nakache,5
Drew Goddard,4
Tate Taylor,5
Jennifer Yuh Nelson,5
Julia Leigh,3
Rupert Wyatt,5
Brad Furman,5
George Nolfi,5
Jamie Linden,3
Gareth Evans,4
J.C. Chandor,4
Sean Durkin,3
Chris Gorak,4
Steven Quale,5
Adam Wingard,4
Zoya Akhtar,4
Daniel Nettheim,3
Matthijs van Heijningen Jr.,0
Gary McKendry,0
James Bobin,5
Justin Kurzel,5
Ben Palmer,5
Ben Wheatley,4
Joe Cornish,0
John Michael McDonagh,4
Mike Cahill,3
Drake Doremus,0
Mark Mylod,4
Daniel Barnz,4
Gavin Wiesen,3
Simon Curtis,5
Paolo Sorrentino,4
Jason Eisener,0
Christian E. Christiansen,4
Zal Batmanglij,0
Madonna,0
Bertrand Bonello,3
Jesse Peretz,4
Andrew Haigh,4
Alister Grierson,5
Morten Tyldum,5
Lynn Shelton,3
Ami Canaan Mann,3
Sarah Polley,3
Alex Gregory,3
Stéphane Rybojad,3
Gonzalo López-Gallego,4
Paul Johansson,0
Ralph Fiennes,3
Malgorzata Szumowska,3
Gaby Dellal,1
Tanya Wexler,0
Paddy Considine,3
Nuri Bilge Ceylan,3
Jason Moore,5
Stephen Chbosky,5
Rupert Sanders,5
Seth MacFarlane,5
Mark Andrews,5
Genndy Tartakovsky,5
Måns Mårlind,5
Lorene Scafaria,5
Rich Moore,5
Nima Nourizadeh,5
Brad Peyton,5
Colin Trevorrow,5
Josh Trank,5
Dan Bradley,0
Chris Renaud,5
Asger Leth,3
Peter Ramsey,5
Ariel Vromen,3
Mark Tonderai,4
Ben Lewin,0
Michael Sucsy,5
Craig Zobel,0
David Palmer,4
Mike McCoy,5
Lisa Azuelos,0
Heitor Dhalia,4
Steve Martino,5
Stephen Elliott,0
Sacha Gervasi,4
Scott Speer,5
Josh Boone,5
M.J. Bassett,4
Ramaa Mosley,0
Robert Lorenz,4
Lee Kirk,1
Chris Butler,0
Baltasar Kormákur,5
Nicholas Jarecki,4
RZA,3
Nikolaj Arcel,4
Fisher Stevens,0
Brian Klugman,4
Felix van Groeningen,0
Stuart Blumberg,3
Sean Baker,4
John Hyams,0
Benh Zeitlin,4
Anthony Hemingway,0
Todd Lincoln,0
James Mather,4
Leslye Headland,4
Sujoy Ghosh,3
Josh Radnor,0
Joachim Rønning,5
Henry Joost,5
Dustin Hoffman,4
Matt Ross,4
Juan Solanas,0
David Chase,0
Henry Alex Rubin,0
Bradley Parker,4
Lee Toland Krieger,4
Reema Kagti,0
Alex Kurtzman,5
Petter Næss,3
Nick Love,3
Anurag Basu,3
Declan Donnellan,3
Paul Andrew Williams,3
Cal Brunker,4
Jamie Travis,3
Homi Adajania,0
Josh Schwartz,0
Jake Schreier,5
Alan Taylor,5
James DeMonaco,5
Abdellatif Kechiche,4
Dan Scanlon,5
Joseph Gordon-Levitt,4
Kirk DeMicco,5
Evan Goldberg,4
Nat Faxon,4
Fede Alvarez,5
James Ward Byrkit,1
Andy Muschietti,5
Carl Rinsch,0
Steven Knight,0
Mike Flanagan,5
Aharon Keshales,3
Maggie Carey,3
David Soren,5
Amma Asante,3
James Ponsoldt,4
Jon S. Baird,4
Don McKellar,0
Destin Daniel Cretton,4
Brian Percival,4
Rob Epstein,0
Daniel Schechter,0
Ken Scott,3
Joey Soloway,3
Klay Hall,5
Cody Cameron,5
Jeremy Saulnier,0
Jordan Vogt-Roberts,5
Allen Hughes,0
Jorge Dorado,0
Don Scardino,0
Jerusha Hess,3
Justin Zackham,4
John Krokidas,3
Ryan Coogler,5
Gia Coppola,3
Jeff Tremaine,5
Joshua Michael Stern,4
Sebastián Cordero,3
Dan Mazer,5
Jon Lucas,5
Michael Tiddes,5
Ayan Mukherjee,4
Peter Landesman,4
Charlie Stratton,3
Joe Lynch,1
Jason Bateman,0
Lake Bell,3
David Lowery,5
Keanu Reeves,0
Ritesh Batra,4
Park Hoon-jung,4
Fredrik Bond,3
Chad Stahelski,5
Damien Chazelle,5
Alex Garland,4
Dan Gilroy,4
Wes Ball,5
Jemaine Clement,3
David Robert Mitchell,4
Noam Murro,5
Christian Ditter,5
Don Hall,5
Robert Stromberg,5
Angelina Jolie,5
Christopher Miller,5
James Marsh,5
Patrick Hughes,5
Michaël R. Roskam,3
Jennifer Kent,3
Damián Szifron,4
Camille Delamarre,5
Leigh Janiak,0
Chris Evans,3
Scott Waugh,5
Paul King,5
Xavier Dolan,0
James Kent,4
Jonathan Milott,3
Jorge R. Gutiérrez,4
Severin Fiala,3
Gary Shore,5
Levan Gabriadze,4
Wally Pfister,3
Courteney Cox,1
Rowan Joffe,0
Philippe Falardeau,0
Kriv Stenders,1
Tom Gormican,4
Alan Rickman,4
Erik Van Looy,0
Jon Watts,5
William Eubank,0
R.J. Cutler,4
Yann Demange,1
Richard Glatzer,4
Justin Benson,3
Bill Pohlad,4
Russell Crowe,4
Ava DuVernay,5
Rob Thomas,0
Charlie McDowell,3
Stuart Beattie,4
Max Nichols,3
Julius Avery,3
Vic Armstrong,4
Theodore Melfi,5
Trish Sie,5
Kristian Levring,3
Harold Cronk,4
Akiva Goldsman,0
James Simone,4
Ben Falcone,5
Jalmari Helander,3
Pascal Chaumeil,0
Ruben Östlund,4
Ryan Gosling,0
John Pogue,4
Jordan Rubin,1
Sam Miller,4
Peter Strickland,0
Richard Laxton,3
Lenny Abrahamson,4
Sarah Gavron,4
Stiles White,5
Justin Simien,3
Benny Safdie,0
Roberts Gannaway,5
Ramin Bahrani,0
Adriana Trigiani,3
Robert Eggers,4
Bryan Buckley,0
John Francis Daley,5
Marc Abraham,0
Kyle Balda,5
Elizabeth Banks,5
Sanyuan Peng,4
Peter Sohn,5
Joel Edgerton,4
Etan Cohen,5
Aleksander Bach,4
Christopher Landon,5
Ilya Naishuller,4
Paco Cabezas,0
Gregory Jacobs,5
Ari Sandel,5
Kyle Patrick Alvarez,3
Leigh Whannell,5
S.S. Rajamouli,5
Jeremy Garelick,4
Paul Tibbitt,5
Roar Uthaug,5
Hannes Holm,4
Alfonso Gomez-Rejon,3
Marielle Heller,4
Deniz Gamze Ergüven,3
Ciarán Foy,4
Catherine Corsini,3
Duke Johnson,0
Oz Perkins,1
Nishikant Kamat,0
Shinji Higuchi,4
Dexter Fletcher,5
Sean Mewshaw,3
Max Joseph,3
Brett Haley,4
Henry Hobson,3
Dean Israelite,4
Rupert Goold,3
Matt Brown,3
Martin Zandvliet,3
Michael Dougherty,5
Kabir Khan,5
Agnieszka Smoczynska,1
Gary Rydstrom,4
David Gelb,4
Patricia Riggen,4
Travis Cluff,4
David Farr,1
Paul Gross,1
John Maclean,0
Simon Stone,3
François Simard,1
Patrick Brice,3
Michael Showalter,4
Dan Fogelman,0
László Nemes,3
Sang-hoon Ahn,3
Daniel Lee,4
Tim Miller,5
Thea Sharrock,5
William Oldroyd,3
Cedric Nicolas-Troyan,4
Makoto Shinkai,5
Alessandro Carloni,5
Julia Ducournau,3
Sang-ho Yeon,5
Anna Foerster,4
Greg Tiernan,5
Barry Jenkins,4
Dan Trachtenberg,5
Garth Davis,5
David F. Sandberg,5
Deon Taylor,4
Nitesh Tiwari,5
Ana Lily Amirpour,0
