director,director_score
Clive Smith,0
Luigi Cozzi,3
Lewis Gilbert,4
Lynne Littman,3
Sam Peckinpah,0
Sam Firstenberg,4
Robert Mandel,4
Enzo G. Castellari,0
Alan Johnson,0
Nicolas Roeg,3
Antonio Margheriti,3
George P. Cosmatos,5
John Mackenzie,0
Peter Sasdy,0
Franc Roddam,3
Joseph Sargent,4
Jeff Kanew,4
Jeremy Kagan,4
John Sayles,4
Jonathan Kaplan,4
Amy Holden Jones,4
Ferdinand Fairfax,0
Michael Laughlin,3
Robert Dalva,4
William Olsen,3
Bryan Forbes,0
Marshall Brickman,0
Donald Shebib,0
James Toback,0
Michael Tuchner,0
Cirio H. Santiago,3
Robert Lieberman,4
Lawrence David Foldes,0
Dick Richards,0
Terry Bedford,1
Roland Klick,0
Richard Pryor,4
Paul Aaron,0
Charles Burnett,3
Richard Michaels,0
David Nelson,0
Mark Pirro,0
David Drury,3
Frank Zuniga,3
Tom Logan,0
James Cameron,5
David Lynch,0
Sergio Leone,0
Hugh Wilson,5
Martin Brest,5
Robert Zemeckis,5
John Hughes,5
Rob Reiner,5
Michael Radford,4
Fritz Kiersch,4
Nick Castle,5
Joel Coen,5
Neal Israel,4
Hayao Miyazaki,5
Joseph Zito,4
Mark Griffiths,3
Roger Donaldson,5
Mark L. Lester,4
Douglas Cheek,3
Gene Wilder,4
W.D. Richter,3
Leonard Nimoy,5
Alex Cox,0
Roland Joffé,0
Thom Eberhardt,4
Stanley Donen,4
Joseph Ruben,5
Stewart Raffill,0
Jim Jarmusch,4
David Lean,4
Albert Magnoli,4
Stephen Frears,5
John Guillermin,0
Frank Oz,5
Just Jaeckin,3
Joel Silberg,4
Neil Jordan,5
Luca Bercovici,0
Steve Barron,5
Charles E. Sellier Jr.,3
Hy Averback,4
James Foley,5
Richard Tuggle,4
Robert Butler,0
Stan Lathan,3
John Byrum,0
Marvin J. Chomsky,4
John C. Broderick,3
Ruggero Deodato,0
Tengiz Abuladze,0
Russell Mulcahy,5
Roger Young,3
Charles Shyer,5
William Tannen,0
Paul Bartel,0
Jim Sotos,3
Robert Boris,3
Douglas Day Stewart,3
Willard Huyck,3
Mark Buntzman,3
Dorian Walker,3
Éric Rohmer,3
Gillian Armstrong,4
Richard Pearce,4
Peter Webb,0
Marcelo Epstein,3
Thomas Rickman,3
Paolo Taviani,0
Malcolm Mowbray,0
Rob Cohen,5
Paul Bogart,4
Lawrence Dane,3
Bobby Roth,3
Bertrand Tavernier,3
Armyan Bernstein,3
Rod Amateau,3
Richard C. Sarafian,3
Lawrence Bassoff,4
Menahem Golan,0
Ken Cameron,0
Károly Makk,0
Roy Battersby,1
Adam Brooks,4
Ippei Kuri,0
Gene Taft,0
Gérard Lauzier,3
Jonathan Lynn,5
Peter Bogdanovich,4
Dan O'Bannon,4
Rod Daniel,5
Savage Steve Holland,4
Akira Kurosawa,0
Tom Holland,4
Paul Verhoeven,5
Jack Sholder,4
Tim Burton,5
Lisa Gottlieb,4
Jerry Paris,5
Ted Berman,0
Danny Steinmann,4
Andrey Konchalovskiy,3
Stuart Gordon,0
Susan Seidelman,4
Alan Metter,5
Howard Storm,3
Jackie Chan,4
Daniel Attias,3
Hector Babenco,0
Joyce Chopra,0
James Komack,4
Geoff Murphy,4
Jûzô Itami,3
William Malone,0
David Greenwalt,3
Corey Yuen,0
Simon Wincer,5
Michael Dinner,4
Kevin Reynolds,5
Rudy De Luca,3
Donna Deitch,3
Cary Medoway,3
Lasse Hallström,5
Jonathan R. Betuel,3
Linda Feferman,0
James Frawley,3
Luc Besson,5
John McTiernan,5
Bill Norton,4
Andrew Davis,5
Robert Clouse,3
Christopher Cain,4
Will Vinton,3
Mike Hodges,3
Peter Masterson,3
Lance Hool,3
Phillip Borsos,4
Luis Puenzo,0
Hal Barwood,3
Emir Kusturica,0
Steven Hahn,0
Paul Donovan,3
Arna Selznick,4
Bud Yorkin,4
Dick Clement,3
Robert Dornhelm,0
Freddie Francis,3
Gavin Millar,3
Harvey Miller,3
David Hare,3
Bernard Deyriès,4
Coline Serreau,3
Raju Patel,0
Jovan Acin,0
Stephen Gyllenhaal,0
Ray Lawrence,4
Jonathan Sanger,3
István Szabó,3
Gary Hudson,0
William Asher,3
Georges Lautner,3
Michael Pearce,3
Ettore Scola,0
Roger L. Simon,0
Sig Shore,0
Rob Nilsson,0
Cary Parker,3
Ian Mune,0
Brian Gilbert,4
Patrick Jamain,0
Mehdi Charef,0
Petru Popescu,0
Caroline Huppert,0
Peter Faiman,5
Howard Deutch,5
Mike Marvin,3
David Anspaugh,4
Lizzie Borden,3
Stephen King,0
David Seltzer,4
Tom McLoughlin,4
Edward Zwick,5
Stephen Herek,5
John McNaughton,3
Fred Dekker,0
Robert Harmon,3
Harry Winer,0
Nelson Shin,0
John Carl Buechler,4
Spike Lee,5
Brian Gibson,4
Leos Carax,0
Anthony Perkins,4
Gary Nelson,0
Masanori Hata,4
Derek Jarman,3
Randa Haines,5
Pedro Almodóvar,5
Fred Walton,3
Roman Polanski,4
Trevor Nunn,0
Claude Berri,3
Charles Martin Smith,5
Penny Marshall,5
Duncan Gibbins,0
David Byrne,3
Jimmy T. Murakami,1
Tom DeSimone,3
Paul Michael Glaser,4
Richard Wenk,3
Ted Nicolaou,3
Thomas Michael Donnelly,3
Harley Cokeliss,0
Robert M. Young,4
Peter Manoogian,3
Jerry Kramer,3
Kevin Tenney,3
Christopher Morahan,3
Prince,3
Nadia Tass,3
George Mendeluk,3
Julien Temple,0
Jeffrey Delman,3
William Fruet,0
Emilio Estevez,4
Jim Goddard,0
Director,3
David Beaird,3
Bob Swaim,3
Moshé Mizrahi,3
Denys Arcand,4
Gene Saks,0
Paul Schneider,3
Bill Sherwood,0
Daryl Duke,0
Bob Weinstein,3
Tom Moore,3
Andrew Lane,3
Michelle Manning,0
Zoran Perisic,0
Bertrand Blier,3
Simon Langton,3
Dale Schott,3
Dominic Orlando,3
Renny Harlin,5
Eugene Corr,3
Eliseo Subiela,0
Allan Burns,3
Henning Carlsen,3
Gideon Amir,3
Fred Olen Ray,0
Jerrold Freedman,0
Fons Rademakers,3
Evelyn Purcell,3
Deran Sarafian,0
Frank Harris,0
Claude Lelouch,0
Emile Ardolino,5
Chris Columbus,5
Kathryn Bigelow,5
Michael Gottlieb,4
Gary Goddard,0
Clive Barker,4
Chuck Russell,5
Bruce Robinson,0
Bernardo Bertolucci,0
Marek Kanievska,4
Joe Roth,5
William Dear,5
Michael Gornick,4
Jim Drake,4
Jimmy Huston,3
Jeffrey Bloom,4
Tom Mankiewicz,4
Danny DeVito,5
Christopher Leitch,3
David Hugh Jones,3
Tibor Takács,3
John R. Cherry III,5
Steve De Jarnatt,0
Barbet Schroeder,0
Alan Clarke,1
Peter Werner,0
Elaine May,0
Norman Mailer,0
Gabriel Axel,3
Percy Adlon,3
Phil Joanou,0
William Phelps,3
Ethan Wiley,3
David Mamet,0
Élie Chouraqui,0
Peter R. Hunt,3
Lyndall Hobbs,4
Cheech Marin,4
Bille August,0
Janice Karman,3
Tamar Simon Hoffs,3
Bruce Pittman,3
Bob Giraldi,1
Jeff Bleckner,3
John Flynn,4
Dennis Feldman,3
Pat O'Connor,4
Ben Bolt,3
David Leland,3
René Laloux,3
David Keith,3
Lindsay Anderson,3
Wayne Wang,5
Lee Harry,0
David DeCoteau,0
Tom Daley,0
Robert Collector,3
Mary Lambert,4
Paul Weiland,4
Donald Cammell,0
Robert Townsend,3
Melvin Frank,0
Bill Froehlich,3
Michael Hoffman,5
Arthur Penn,3
Charlie Loventhal,3
Abel Ferrara,0
Christine Edzard,3
John Duigan,3
Peter Greenaway,3
Phil Alden Robinson,5
Diane Kurys,3
Bigas Luna,0
Nikita Mikhalkov,3
Stephen Carpenter,0
Peter Del Monte,3
Bill Condon,5
Terry Leonard,3
Dorothy Ann Puzo,3
Paul Newman,3
Yurek Bogayevicz,3
John Cornell,5
Michael Lehmann,5
Donald Petrie,5
Katsuhiro Ôtomo,3
Giuseppe Tornatore,4
David Zucker,5
Charles Crichton,4
Newt Arnold,4
Peter MacDonald,5
John Waters,0
Ron Shelton,5
George Scribner,4
Zalman King,4
Stephen Chiodo,0
Dwight H. Little,5
Keenen Ivory Wayans,5
Stan Winston,3
Greg Beeman,4
Tony Randel,3
Dennis Hopper,4
Robert Bierman,0
Ken Annakin,0
Ramón Menéndez,3
William Lustig,3
Zelda Barron,3
Anthony Hickox,3
Kar-Wai Wong,5
Bud S. Smith,0
Francis Megahy,3
Kenneth Johnson,0
William Richert,3
Carl Schultz,4
Craig R. Baxley,3
Frank LaLoggia,0
David Green,0
Mick Garris,4
Mark Goldblatt,0
Joan Freeman,3
Paul Flaherty,3
Geneviève Robert,4
Rowdy Herrington,0
