writer,writer_score
Olive Higgins Prouty,4
Telsche Boorman,0
Takeshi Kitano,4
Nat Mauldin,0
John Blumenthal,3
Gideon Amir,3
Alan Parker,0
Joel Silberg,3
Grant Morris,0
Jere Cunningham,0
Mitchel Katlin,4
Bob Greene,4
Prince,0
Mike Binder,4
Martha Goldhirsh,3
Jackson Barr,3
Stephen Peters,4
Mario Vargas Llosa,0
John DeMarco,0
Christian Vincent,0
Haruki Kadokawa,0
William McIlvanney,3
Bernt Amadeus Capra,3
Michael Verhoeven,3
John B. Harvie,0
Rick King,5
J.M. Barrie,5
John Singleton,5
John D. MacDonald,5
Charles Addams,5
Callie Khouri,5
Carlos Cuarón,4
Pen Densham,5
Randall Jahnson,0
Linda Woolverton,5
Fannie Flagg,5
Jim Garrison,5
Dave Stevens,4
Laurice Elehwany,5
Frances Goodrich,5
Neil Landau,4
Richard LaGravenese,5
Alexander Lee,0
Nancy Price,5
Gus Van Sant,4
Elizabeth Livingston,3
Bruce Willis,0
Peter Aykroyd,0
Alvin Sargent,4
William S. Burroughs,0
Roddy Doyle,3
Jenny Wingfield,3
Krzysztof Kieslowski,3
Thomas Lee Wright,4
William P. Kennedy,3
J.J. Abrams,5
Neil B. Shulman,4
Jean-Pierre Jeunet,3
Claude Magnier,0
Walter Doniger,0
Matt Williams,3
Stephen Glantz,0
Don Michael Paul,0
Betty Mahmoody,4
Stephen Coonts,0
Lem Dobbs,5
Kim Wozencraft,0
Scott Frank,5
Hotaru Okamoto,3
Sean Penn,4
Flint Dille,4
Terrence McNally,0
Stephen Poliakoff,3
David Stenn,0
Jack London,4
Peter Carey,0
Richard Neely,0
Tong Su,3
Frank A. Cappello,3
Mitchell Smith,3
Michael Mahern,0
Ezra Litwak,4
Marti Leimbach,5
Bob Comfort,3
David Hines,3
Peter Chelsom,3
Jerry Sterner,4
Lawrence J. Cohen,0
Bobcat Goldthwait,0
Brian Moore,4
Lars von Trier,4
Ed Rosenbaum,4
Tom DiCillo,3
Parker Bennett,0
Robert Townsend,0
Sooni Taraporevala,3
Brian Hohlfeld,4
Jean Genet,3
Emlyn Williams,4
Elizabeth von Arnim,4
Enzo Monteleone,3
David C. Wilson,3
Carolyn Shelby,4
Simon Moore,5
Christopher Marlowe,3
Robin Lyons,0
Calder Willingham,0
Frank Mugavero,3
Patrick Meyers,3
Atom Egoyan,0
William Reilly,4
Ziggy Steinberg,0
Andre Norton,0
Duncan Gibbins,0
Chester Himes,3
Kiyoko Murata,3
Sara Paretsky,4
Sam Simon,0
Jocelyn Moorhouse,3
Peter Matthiessen,0
Sarah Kernochan,3
Irwin Winkler,4
Joyce Selznick,3
Pascal Quignard,3
Jim Strain,0
Tony Spiridakis,3
Pierre Boileau,4
Michael Mewshaw,3
Pam Gibson,4
Max Dann,3
Frank Pesce,3
Julie Dash,3
Malia Scotch Marmo,0
Alfonso Cuarón,5
Sidney J. Furie,0
Gustave Flaubert,3
Nicholas Meyer,0
Bill Jesse,3
Michael Lindsay-Hogg,3
Max Frisch,3
Radha Bharadwaj,0
Avi Nesher,0
Robert Boswell,3
John Brancato,5
Maurice Pialat,3
Mark Andrus,5
Álvaro del Amo,3
Roberto Benigni,4
Richard Harris,3
Quentin Tarantino,5
James Fenimore Cooper,4
Bram Stoker,5
Aaron Sorkin,5
Kim Wilson,5
Giovanni Arpino,5
Steven Brill,5
Ron Clements,5
Paul Rudnick,5
Bob Dolman,5
John Lutz,4
Mike Myers,5
Norman Maclean,4
Richard Rothstein,0
Joss Whedon,5
David Robinson,0
Marguerite Duras,3
Amanda Silver,5
Bob Tzudiker,0
Alex Haley,4
Stephen Sinclair,0
Melissa Goddard,0
George Zaloom,4
Robert Rodriguez,5
Pascal Bruckner,0
Richard Outten,4
Zoë Lund,3
Mark Stein,5
Ernest R. Dickerson,4
Rémy Belvaux,3
Kenny Kim,4
Brad Mirman,0
John Dwyer,0
Tony Gilroy,5
Cuca Canals,0
A L Katz,3
Curtis Burch,4
David Mickey Evans,3
Baz Luhrmann,5
Virginia Woolf,3
Gary Scott Thompson,5
Geoffrey Wright,3
Rose Bosch,0
Rex McGee,3
Barry W. Blaustein,5
Bryce Courtenay,0
Manny Coto,3
Lou Illar,4
Blake Snyder,5
Michael Wolk,0
George Putnam,5
George Miller,5
Robert Berger,0
Billy Bob Thornton,5
Tom S. Parker,5
Troy Neighbors,0
Rodolfo Sonego,0
Edward Tang,4
Robin Harris,4
H.F. Saint,0
Rita Rudner,0
Robert Sheckley,0
Laura Esquivel,4
Janus Cercone,4
Leonard Wise,0
Erik Orsenna,3
Rebecca Charles,3
Damon Wayans,4
Bob Gale,0
Cindy Cirile,3
Jeff Benjamin,0
Laura Ziskin,0
Stephen Milburn Anderson,0
Claude Sautet,3
Ryû Murakami,3
Theo Pelletier,0
Jing Wong,0
Scott Sommer,0
Graham Swift,0
Marty Kaplan,0
Rafael Azcona,3
Tom Kalin,0
Tim Robbins,0
Mbongeni Ngema,3
Don Bloch,0
Sollace Mitchell,3
Michael Hitchcock,3
Alice McDermott,3
Allison Anders,3
Peter Silverman,0
Arnaud Desplechin,0
Nicole Conn,0
Ron Cutler,0
Oscar Hijuelos,0
Dominique Lapierre,0
Ming-liang Tsai,3
Don Roos,3
Billy Crystal,5
Barry Wong,0
Gregg Araki,3
Matthew Bright,0
Jean-Claude Lauzon,3
Gerald Kersh,0
Anthony Drazan,3
Friedrich Dürrenmatt,0
Carole Eastman,0
Nick Gomez,0
Pat Proft,4
Daniel Goldin,3
Shin'ya Tsukamoto,0
Jim Piddock,0
Frank Galbally,3
Mike Snyder,0
Louis Nowra,0
Meg Wolitzer,3
Barry Primus,3
Mark Herman,3
Ed Solomon,5
Colin Nutley,4
Tin-suen Chan,0
Jacques Dorfmann,3
Grace Cary Bickley,0
Thomas Keneally,5
J.D. Shapiro,4
Chazz Palminteri,0
Peter Hedges,4
David Kirschner,3
Anne Fine,5
Jeb Stuart,5
Peter M. Lenkov,3
Hank Ketcham,5
Ebbe Roe Smith,4
John Grisham,5
Zak Penn,5
Danny Rubin,5
Jeff Arch,5
John Long,5
Jane Campion,4
Sam Harper,5
Ross Thomas,0
Gerry Conlon,4
Piers Paul Read,3
Jack Engelhard,5
Jeff Maguire,5
Edith Wharton,0
Allen Hughes,4
Michael Shaara,0
Alexandre Dumas,5
Sheila Burnford,4
Frances Hodgson Burnett,3
Keith Walker,5
Kazuo Ishiguro,3
Travis Walton,3
Lynn Siefert,5
Stephen Levy,0
Barry Berman,4
Tom Davis,0
Robbie Fox,0
Alan Shapiro,3
Don Holley,4
Tobias Wolff,3
Mark Steven Johnson,5
John Lee Hancock,5
Mark Jones,3
Tina Turner,4
Raymond Carver,3
Patrick J. Clifton,4
John Penney,0
Fred Waitzkin,0
Jay Huguely,4
Paul Henning,4
Roger Avary,4
Guillermo del Toro,5
Philippe Caland,3
Hilary Henkin,0
Jürgen Büscher,3
Bill Apablasa,3
Carol Heikkinen,0
Tim Krabbé,4
Isabel Allende,0
Ian Abrams,4
Bernardo Bertolucci,0
Robert Clouse,4
Amy Tan,4
Tom Sierchio,4
Tim Burns,0
Jonathan Marc Feldman,3
Gregory Hansen,0
Jane Austen,5
John Guare,0
Isabelle Holland,4
Pik-Wah Lee,3
Michael Frost Beckner,0
Lewis Colick,0
William Nicholson,5
David Atkins,0
A.E. Hotchner,0
Rafael Yglesias,3
Christian Clavier,3
Mark Twain,4
Marcia Brandwynne,5
David Henry Hwang,3
David O'Malley,4
Chris Rock,4
Paul W. Shapiro,0
Le Ly Hayslip,0
Rae Lambert,0
Sy Richardson,4
Daniel Vigne,5
Tom Robbins,0
Marc Lawrence,5
Max Strom,0
Richard Williams,0
Dean Lorey,0
Kevin Rock,3
Anh Hung Tran,3
Jan Sharp,3
Tan Cheung,3
Desmond Lowden,3
Alex S. Kim,3
Christopher Coppola,0
Ang Lee,4
Patrick Hasburgh,0
Scott McGehee,3
Dana Stevens,5
Howard Frank Mosher,3
Barry Michael Cooper,4
John Lafia,3
John Brosnan,3
Amy Schor Ferris,0
Arne Olsen,4
Ishirô Honda,5
Nanni Moretti,4
Dan McCall,3
Mark Bowden,5
Daniel Algrant,3
Maurice Richlin,0
Tin Nam Chun,3
Roger Hedden,0
Michael Lessac,3
Gurinder Chadha,5
Eric Idle,3
Garson Kanin,4
Bernard Taylor,0
Susan Cooper,0
Wallace C. Bennett,0
Rusty Cundieff,3
Chuck Hughes,0
Mary McGarry Morris,3
Richard Nelson,3
Warren Leight,0
Winston Groom,5
Claude Zidi,5
Irene Mecchi,5
Michael Fallon,5
Graham Yost,5
Dean Devlin,5
Penelope Spheeris,4
Peter Farrelly,5
Susan Shilliday,5
James O'Barr,4
Anne Rice,5
Jack Bernstein,5
Louisa May Alcott,4
Kar-Wai Wong,5
Fran Walsh,5
Kevin Smith,5
Andrew Kurtzman,4
Roy Huggins,5
Steve Barancik,3
Stephan Elliott,4
James Ferguson,0
Rudolph Grey,0
Dorothy Kingsley,4
Michael De Luca,3
Helen Childress,4
Denis O'Neill,4
Rich Wilkes,5
John Rice,0
Billy Ray,5
Alan Zweibel,0
P.J. Hogan,3
Jane Anderson,4
Diane Drake,4
Riwia Brown,3
Mary Shelley,5
Rudyard Kipling,4
Mark Verheiden,5
Leo Benvenuti,5
John Shirley,5
John Hodge,5
Albert S. Ruddy,5
Walter B. Gibson,4
Rama Laurie Stagner,0
Paul Attanasio,0
Eric Bernt,0
Mark Handley,5
Joe Batteer,3
Claude Chabrol,5
Lord Byron,4
William Porter,0
Paul Dini,0
Ariel Dorfman,0
Adam Leff,0
Antonio Skármeta,4
Richard Russo,4
Matthew Carlson,3
Rosalie K. Fry,3
Jeff Pollack,4
Gregory K. Pincus,4
Ed Horowitz,4
Joie Lee,0
David O. Russell,5
Wendy Kesselman,3
Valentine Davies,4
Richard Rich,0
Kathy McWorter,4
Adam Rifkin,5
John Mattson,4
Jim Burnstein,0
Andrew Wellman,3
Bobby Smith Jr.,4
Bernard Rose,4
Robert C. Thompson,0
Richard Herley,0
T. Coraghessan Boyle,0
Harry Goodridge,4
Tiziano Sclavi,0
Stephen Norrington,3
Louis Cha,3
Brian Owens,3
Chris Elliott,0
Anna Sewell,3
John Michael Hayes,4
Tony Griffin,0
Wei Lu,3
Jessie Nelson,4
Marie Weiss,3
Sang-ok Shin,0
Julia Sweeney,3
Sara Parriott,0
Roy Carlson,0
Bernie Somers,4
James Gray,4
Eric Knight,4
Franco Amurri,4
Robert A. Heinlein,4
Roger Angell,3
Iain Softley,3
Mildred Cram,0
Akiva Goldsman,5
Max Apple,3
Duane Dell'Amico,3
Michael Austin,3
George Huang,0
Tom Chaney,0
Nancy Brelis,3
George Eliot,3
Andrée Corbiau,3
Jimmy McGovern,3
Milcho Manchevski,0
Nikita Mikhalkov,0
Louis Pergaud,3
David Stevens,3
Trey Ellis,4
David Weisberg,5
Michael Hastings,3
Darlene Craviotto,0
Jesse Hartman,3
Terence Rattigan,3
Al Stump,3
Michael Mann,5
Andrew Kevin Walker,5
Randall Wallace,5
Jim Lovell,5
Christopher McQuarrie,5
Jonathan Hensleigh,5
Harmony Korine,4
John Lasseter,5
Ed Boon,5
Chris Marker,5
John O'Brien,5
Ice Cube,5
Peter Rader,5
Jim Carroll,3
Tim Herlihy,5
John Kamps,4
Ian Fleming,5
Laurence Dworet,5
Rafael Moreu,0
Mathieu Kassovitz,3
Joseph Oriolo,5
Douglas Carter Beane,4
Judd Apatow,5
Alan Martin,0
I. Marlene King,4
Carl Binder,5
Jymn Magon,4
LouAnne Johnson,5
Joyce Maynard,3
Samuel A. Taylor,0
Shirow Masamune,5
Daniel G. Sullivan,5
Bonnie Turner,4
Dick King-Smith,5
Helen Prejean,4
Sherwood Schwartz,4
William Gibson,0
John Wagner,4
Gilles Adrien,0
Joe Connelly,0
Victor Salva,5
Richard Hatem,5
Holly Goldberg Sloan,3
Debra Hill,5
Albert Hackett,4
Lilly Wachowski,5
Deborah Dean Davis,4
Alan Sharp,3
Ann M. Martin,3
Terry McMillan,5
Todd Solondz,3
Lynne Reid Banks,0
Walter Mosley,0
Whitney Otto,4
Noah Baumbach,3
Ethan Reiff,0
John Wyndham,0
Peter Dexter,5
Doug Richardson,0
David E. Peckinpah,4
Stephen J. Rivele,0
Patricia Rozema,3
Dusan Kovacevic,0
Cliff Ruby,4
Nathaniel Hawthorne,0
Roger Kumble,3
Scott Rosenberg,5
Patrick Braoudé,5
Todd Haynes,3
Karen Elise Baldwin,4
Andrew Davies,4
Michael Moore,0
Ian McKellen,3
Jorge Guerricaechevarría,0
Michael Part,0
Oliver Parker,0
Barry Glasser,3
Paul Auster,3
Eleazar Lipsky,0
James Mangold,5
Chris Radant,0
A.S. Byatt,0
Robert Kuhn,3
Jean Giono,3
Paula Milne,4
Rose Tremain,0
Tonino Guerra,3
Gregory Nava,4
Edward Burns,4
Dan Rosen,3
John Jordan,4
Ruth Rendell,3
Ifor David Monger,0
Tim Sullivan,3
Gary David Goldberg,4
Tobe Hooper,3
Chris Crutcher,3
Harry Birckmayer,3
James Morris,4
Seth Margolis,0
Don Tracy,0
Rachel Koretsky,0
James Herbert,0
Michael J. Di Gaetano,4
Barbara Turner,3
Lewis A. Green,3
Aaron Norris,0
Maria Maggenti,4
Barbara Williams,4
Beryl Bainbridge,0
Theodoros Angelopoulos,3
David Price,0
Phillip Borsos,4
Jérôme Beaujour,3
Rick Stevenson,3
David Frankel,3
Marleen Gorris,3
James Hadley Chase,3
John Wilcox,3
Jacques Fieschi,3
Preston A. Whitmore II,0
Melvin Van Peebles,3
Kevin Williamson,5
Lorenzo Carcaterra,5
Robert Kurtzman,3
Bruce Geller,5
Irvine Welsh,4
Dodie Smith,5
J.G. Ballard,0
Len Brown,4
Michael Ondaatje,5
Owen Wilson,0
André Cayatte,0
Tom Hanks,4
H.G. Wells,4
Barry Fanaro,5
Tony Puryear,5
Carl Hiaasen,5
Jon Favreau,5
Lou Holtz Jr.,5
Shawn Wayans,5
Paul Thomas Anderson,5
Jerry Lewis,5
Stanley Tucci,4
Olivia Goldsmith,5
Takashi Bufford,4
James DeMonaco,5
Charles Gieg Jr.,0
Arne Schmidt,3
Helena Kriel,3
Jens Dahl,3
Leslie Bohem,5
Ryûzô Kikushima,0
Cyril Hume,5
Mike Judge,5
Bill Lishman,3
John Norville,4
Chris Warner,0
Lee Falk,0
Peter Abrahams,0
Erika Holzer,3
Steve Buscemi,0
Paul Michael Glaser,0
Randy Kornfield,5
Jan Sardi,4
Fred Wolf,5
Gerald Di Pego,5
Louise Fitzhugh,4
Ricou Browning,0
Tim Rice,5
William M. Gaines,0
Jason Friedberg,5
Roy Frumkes,4
Scott McPherson,0
Chris Miller,0
Lech Majewski,0
Frank Dux,4
Robert Louis Stevenson,3
Lisa Krueger,0
Jonathan Harvey,3
Nick Villiers,0
Hossein Amini,5
Larry Bishop,0
Olivier Assayas,3
Cornell Woolrich,0
Kevin Brodbin,0
Joan Didion,4
George Dawes Green,0
Chris Hauty,5
John Payson,0
Robert Nathan,4
Charlotte Brontë,4
Eric Schaeffer,0
Eric Bogosian,3
Greg Mellott,4
Wayne Smith,0
John Hopkins,4
Don Rhymer,5
Greg Mottola,4
Rosellen Brown,0
Alexander Payne,5
Michael Palmer,0
Louise J. Kaplan,3
Martin Lawrence,4
Angus Fraser,3
Audrey Wells,5
Novalyne Price Ellis,0
Michael Goldenberg,5
Jason Katims,0
Farhad Mann,0
Reb Braddock,0
Tim Kelleher,4
Steven Baigelman,3
Sei Shonagon,3
Sherry Mills,0
Ken Lipper,0
Tony Hendra,4
Valerie Martin,0
E. Jack Kaplan,3
Nat Hiken,0
James Lee Burke,0
Edward Pomerantz,0
Jeremiah Newton,3
Charles Leavitt,5
Suzan-Lori Parks,0
Roy Blount Jr.,0
Eirik Ildahl,3
Denis Leary,4
James Marshall,0
Norm Hiscock,3
David Zucker,5
Andy Burg,0
Daniel Defoe,3
Jenaro Prieto,4
Phyllis Reynolds Naylor,3
Henry S. Villard,4
Arianna Huffington,0
Richard Feynman,3
Bill Geddie,0
Jeff Schechter,3
Cleveland O'Neal III,3
Steven Haft,3
Ken Richards,0
Vladimir Nabokov,0
Matt Damon,5
Andrew Neiderman,5
Vincenzo Cerami,5
James V. Hart,5
Lowell Cunningham,5
Andrew W. Marlowe,5
Philip Eisner,0
Mike Werb,5
Andrew Niccol,5
Lois Duncan,5
André Bijelic,3
Paul Guay,5
Joseph D. Pistone,5
Jay Ward,5
Susan Gauthier,5
Joan Taylor,4
John Berendt,0
Dan Schneider,4
Sadayuki Murai,3
Hans Bauer,5
Bruce Feirstein,5
Leslie Charteris,4
Simon Beaufoy,5
Todd McFarlane,4
Heinrich Harrer,5
John Ridley,5
Brian Helgeland,5
Jonathan Mostow,5
Danielle Alexandra,0
Kenneth Ross,5
James Patterson,5
Elisa Bell,4
David Brin,0
Donald A. Wollheim,0
Tom Jankiewicz,4
Spice Girls,3
Mary Norton,5
Leslie Cockburn,5
Jerome Armstrong,4
Jill Sprecher,3
Lance Young,3
Sue Miller,3
Alejandro Amenábar,5
Wayne Beach,0
Samuel W. Taylor,5
Trey Parker,5
Rick Moody,0
George Tillman Jr.,4
Majid Majidi,3
Douglas Preston,0
Rowan Atkinson,5
Larry Beinhart,4
David Baldacci,3
Hervé Palud,4
Troy Byer,3
Howard Stern,4
Arleen Sorkin,4
Russell Banks,3
Oren Aviv,4
David Michael Wieger,3
Steve Oedekerk,5
Louise Simonson,0
Kasi Lemmons,4
Kiyoshi Kurosawa,4
Kevin DiCicco,4
Jana Howington,0
Santo Cilauro,4
Shuki Levy,3
Gregory Poirier,0
Robert Gordon,5
Robert King,5
Theodore Witcher,3
Jane Smiley,0
Chris Brancato,0
Max D. Adams,0
Nick Hornby,5
Robert Farrar,0
Todd Graff,0
Josh McKinney,0
Ken Solarz,0
Martin Sherman,3
Scott Yagemann,0
Jeremy Brock,4
Nikolaj Frobenius,3
Ole Bornedal,3
David Bar Katz,0
Michael Vickerman,0
Vondie Curtis-Hall,3
Albert Ash,4
Robert Duvall,4
James F. Robinson,3
Fibe Ma,4
Gordon Gordon,4
Lev Tolstoy,0
Victor Nunez,3
Steve James,0
Mark Dindal,5
Jonathan Brett,0
David Giles,0
Naomi Wallace,0
Thomas Jahn,3
Wendy MacLeod,0
John Cassavetes,0
Kevin Allen,0
Bob Mosher,0
Jeff Rothberg,0
Dan Wakefield,3
Bob Koherr,3
Neal Cassady,0
Robert Nelson Jacobs,4
Christopher Reed,3
Michael Davis,0
Michael Nicholson,0
Joseph Conrad,3
Mark Haskell Smith,0
Neil LaBute,0
Robert Downey Sr.,3
Mark Brown,5
John Patrick Kelley,3
Peter Crabbe,0
Laura Jones,3
Peter Høeg,0
Sara Bernstein,4
Greg Dinner,3
Robert Rodat,5
David McKenna,3
Guy Ritchie,5
David Levien,4
Erich Kästner,5
Ron Osborn,4
Ross LaManna,5
Ed Decter,5
David Wechter,4
Robert D. San Souci,5
James Jones,4
Miklós László,5
Wes Anderson,5
Johnston McCulley,5
Frederick Knott,5
Alex Proyas,3
Susannah Grant,5
Marc Norman,5
Deborah Kaplan,3
Gavin Scott,4
Philip LaZebnik,5
Gigi Levangie,5
Bill Kelly,5
David Marconi,5
Thomas Vinterberg,3
Silvio Horta,5
J.D. Zeik,0
Irwin Allen,5
Darren Aronofsky,5
Nick Evans,5
Patch Adams,5
Michael Browning,5
Stephen Sommers,5
Michael Hirst,4
Mark Christopher,3
Steven Rogers,5
Peter Howitt,3
Vincent Gallo,0
Robert Bloch,0
Ryne Douglas Pearson,5
Tom Tykwer,3
Dave Chappelle,4
Todd Alcott,5
Scott B. Smith,3
John Steakley,3
James Lyons,3
Christopher Nolan,5
Gaspar Noé,0
Sydney Newman,0
Alessandro Baricco,4
Lawrence Wright,4
Karan Johar,5
Steve Koren,5
Tina Andrews,4
Chris Carter,5
Jeffrey Falcon,0
Cédric Kahn,0
James Merendino,3
Ken Sanzel,0
Paul Mayersberg,3
Frank Sebastiano,0
Hugh Lofting,5
Peter Berg,5
Ludwig Bemelmans,4
Ben Ramsey,4
Christopher Bram,0
Don McKellar,0
Merian C. Cooper,0
Stephen McCauley,4
Satoshi Tajiri,5
Anthony Bodden,3
Victor Hugo,4
Kirk Jones,4
Joe Klein,0
Vera Chapman,0
Lukas Moodysson,4
Rodman Philbrick,3
Skip Woods,5
Gordan Mihic,3
Daryl Matthews,4
Jonathan Darby,0
Mark Nutter,0
Lisa Cholodenko,4
Jonathan Harr,0
Willard Carroll,0
David N. Weiss,5
Anthony Abrams,3
Greg Erb,0
William Mickelberry,0
Margaret Rosenthal,0
Claude Stanush,0
Marcos Bernstein,3
M. Night Shyamalan,5
Pierre Jolivet,4
David Klass,0
Eoin McNamee,3
Esther Freud,0
Sherman Alexie,3
Toni Morrison,0
Sean McNamara,4
Julio Medem,4
Anna Quindlen,0
Chris Soth,0
Tamara Jenkins,4
Dee Snider,0
Hirokazu Koreeda,5
Stephen White,0
Jerry Stahl,3
Jim Herzfeld,0
Robert Orr,0
Jim Cartwright,3
Yasutaka Itô,3
Clare Peploe,3
Matthew L. Healy,0
Tom Nursall,0
Todd Stephens,3
Jon Bernstein,0
Eddie Little,0
James Frey,3
Michael Grant Jaffe,3
Larry David,3
Angela Huth,3
Mark Evan Schwartz,3
Jake Kasdan,5
Frank Parkin,3
Tony Cinciripini,0
Jonah Raskin,3
David Rabe,0
Vince Gilligan,0
Chuck Palahniuk,4
Patricia Highsmith,5
Adam Herz,5
Alan Ball,5
Karen McCullah,5
David Howard,4
Daniel Myrick,5
Jeffrey Eugenides,4
Susanna Kaysen,4
E.B. White,5
Duncan Kennedy,5
Troy Duffy,0
W. Peter Iliff,4
R. Lee Fleming Jr.,5
Washington Irving,5
David E. Kelley,3
Tom Perrotta,0
Charlie Kaufman,4
Tim McCanlies,0
Neal Purvis,5
Steve Franks,5
Arturo Pérez-Reverte,4
Marie Brenner,0
Harris Goldberg,5
Robert Ramsey,5
Alan Trustman,5
Lona Williams,0
Kimberly Peirce,4
Robb White,4
Brian Peterson,3
Abby Kohn,5
Darren Stein,0
Jeffery Deaver,5
Pamela Gray,0
Homer H. Hickam Jr.,4
David Self,5
John August,5
Donald E. Westlake,4
John Roach,0
Terri Hughes Burton,0
Carl V. Dupré,0
Nelson DeMille,5
Lynne Ramsay,4
Ted Griffin,3
Isaac Asimov,0
Josann McGibbon,5
Daniel F. Galouye,3
Andy Heyward,4
Ehren Kruger,5
Rubin 'Hurricane' Carter,4
Todd Strasser,4
Michael Berry,4
Nicholas Sparks,5
Tom Lazarus,5
Alexandra Rose,0
Kenneth Lonergan,5
Justin Kerrigan,3
Adam Fields,0
Anna Campion,3
Molly Shannon,0
Malcolm D. Lee,4
Alexander Stuart,3
Andrew Klavan,4
Peggy Thompson,3
Frank McCourt,0
Anna Leonowens,4
Bruno Dumont,3
Steven Paul,4
John L. Greene,0
Mona Simpson,3
Daniel Woodrell,0
Shana Larsen,3
Émile Gaudreault,0
Adam Scheinman,0
René Goscinny,5
Eric Goldberg,4
Rand Ravich,0
Jerry Juhl,0
Mahmoud Aiden,3
Marc Behm,0
Rick Famuyiwa,4
Jeff Franklin,0
Darcy Frey,0
Mitchell Kriegman,0
Bari Wood,0
Jacquelyn Mitchard,0
Judith Roberts,0
Hiroshi Kashiwabara,0
Ayub Khan-Din,3
John Logan,5
Colette Burson,3
John Mortimer,3
Anne Rapp,3
Rodney Patrick Vaccaro,0
Peter Ettedgui,0
Mamoru Oshii,3
Chris Roberts,0
Robert Pucci,0
David Guterson,0
Cathleen Schine,0
Roi Cooper Megrue,0
Michael Henry Brown,3
Mark Childress,0
J.B. Cook,0
Ruth Toma,3
Buddy Ruskin,0
Jurek Becker,0
Selwyn Roberts,3
Kurt Vonnegut Jr.,0
Jean-Pierre Dardenne,4
Jason Schafer,3
Robyn Slovo,3
Philippe Blasband,3
Max Färberböck,3
Jane Hamilton,3
Lew McCreary,3
Patrick Cassidy,0
Oscar Hammerstein II,0
Denis Johnson,0
Ed Stone,0
Serge Frydman,0
Frank Whaley,3
William Broyles Jr.,5
Sebastian Junger,5
Gina Wendkos,5
Tom DeSanto,5
Ken Kaufman,5
Ryan Rowe,5
Todd Phillips,5
Jessica Bendinger,5
Gregory Allen Howard,5
Homer,5
Cormac Wibberley,5
Peter Lord,5
Mark Protosevich,5
Glen Morgan,5
Louis Mellis,4
Clark Gregg,5
Chris Williams,5
Hui-Ling Wang,5
H.B. Halicki,5
Philip Stark,5
Greg Glienna,5
Jim Wheat,4
Karen Walton,0
Corey Mandell,0
Mitchell Kapner,5
Joanne Harris,5
Lee Hall,5
Guillermo Arriaga,5
Peter Cook,4
Asia Argento,3
Thom Enriquez,5
Dr. Seuss,5
Josh Goldsmith,5
David Diamond,5
Lowell Cannon,4
Vince McKewin,3
John Wainwright,0
Ben Younger,5
Toby Emmerich,4
Scott Marshall Smith,4
Gina Prince-Bythewood,4
Miles Millar,4
Angela Sommer-Bodenburg,0
Doug Wright,3
Catherine Ryan Hyde,4
William Hanna,5
Virginie Despentes,3
Joel Soisson,0
Topper Lilien,0
Ted Lewis,0
Michael Chabon,0
Mike Rich,5
Steven Pressfield,0
Will McRobb,4
Darcy Meyers,4
John Pogue,4
Darryl Quarles,5
Peter Steinfeld,5
Mark Brandon Read,3
Stuart Blumberg,4
Jim Webb,4
Cormac McCarthy,3
Delia Ephron,0
Edward Yang,3
Kris Isacsson,4
Jean-Christophe Grangé,4
Steven Katz,3
Britt Allcroft,3
Ross Klavan,0
Bonnie Hunt,4
Andrew Lowery,0
Mark Schwahn,4
Mike White,5
Allison Burnett,5
Steven Naifeh,3
Cunningham O'Keefe,4
Alan B. McElroy,0
Valerie Breiman,3
Charles Busch,0
Andrew Scheinman,0
Mark Crowdy,4
Kim Ki-duk,4
Rainer Werner Fassbinder,0
Joel Hershman,3
Vera Blasi,3
Hideyuki Kikuchi,3
László Krasznahorkai,3
Tim Meadows,0
Rod Lurie,0
Fabián Bielinsky,4
Greg Berlanti,4
Mark Gibson,0
Karyn Kusama,3
Simon Donald,3
Willie Morris,4
François Ozon,5
João Pedro Rodrigues,3
H. Banerjee,3
Anita Shreve,0
Adam Resnick,0
Edward Bunker,0
Cathy Cash Spellman,0
Sally Potter,3
J. David Stem,5
Michael Haneke,4
Denis Villeneuve,3
Johnny Ferguson,3
Roy Andersson,3
Silvio Soldini,4
Dominic Anciano,3
John C. Richards,0
Michael Seitzman,0
Nicholas Klein,0
Eddie Guzelian,5
Garry Shandling,0
Serge Bramly,3
Isabel Ellsen,0
James Gunn,5
Pierce Gardner,4
Akiyoshi Hongo,4
Rakesh Roshan,0
Del Shores,3
Anne Kennedy,3
Ye Lou,0
Stephen Johnston,0
Eric Blakeney,0
Thomas Bezucha,5
J.K. Rowling,5
Ken Li,5
J.R.R. Tolkien,5
Amanda Brown,5
Pete Docter,5
Richard Kelly,0
Mike Bender,4
George Clayton Johnson,5
William Steig,5
Guillaume Laurant,5
David Ayer,5
Daniel Clowes,3
Jay Chandrasekhar,4
Bruce Porter,4
Meg Cabot,5
Pierre Boulle,5
David Spade,4
Kevin Falls,0
Michael Showalter,0
Sean Moynihan,5
Drake Sather,4
Jean-Jacques Annaud,4
Julian Fellowes,5
Daniel Coyle,4
Milo Addica,4
Jim Schutze,3
Helen Fielding,5
Kristine Johnson,5
David Scarpa,5
Sara B. Cooper,5
Brent Hanley,3
Duane Adler,5
Beverly D'Onofrio,0
Tom Brady,5
Dustin Lee Abraham,4
Clay Tarver,4
Richard Recco,0
Daniel E. Taylor,4
J.H. Wyman,5
Alan Moore,5
Marc Klein,5
Stéphane Cabel,4
Larry Sulkis,0
John Stockwell,0
Marc Hyman,0
Hank Nelken,3
