writer,writer_score
Paul Brickman,5
Timothy Harris,5
Nik Cohn,4
Robert Hiltzik,0
Lawrence Lasker,5
Philip Kaufman,0
David Smilow,4
Jeffrey Boam,5
George MacDonald Fraser,4
Andrew Lane,4
Larry McMurtry,5
Kevin McClory,4
Jean Shepherd,3
Harry Julian Fink,4
James Costigan,3
Dan O'Bannon,5
François Truffaut,4
Bill Forsyth,0
Richard Di Lello,4
Nora Ephron,5
F. Paul Wilson,0
Joe Roberts,4
Jack Rosenthal,4
Ralph Bakshi,0
Martin Davidson,3
Graham Chapman,3
Andrei Tarkovsky,3
Stuart Birnbaum,4
Howard R. Cohen,4
Roger Swaybill,4
Ray Bradbury,0
Horton Foote,4
Teresa Carpenter,0
Martin Cruz Smith,3
B.J. Nelson,3
Rodney Dangerfield,5
Lourens van der Post,4
Bill Norton,0
Linda Shayne,3
Bruce Joel Rubin,5
George Gipe,4
Robert Vincent O'Neil,4
William Roberts,3
Joe Gayton,4
Howard Avedis,3
William Neely,4
Menahem Golan,0
John Herzfeld,4
Aaron Butler,3
Stewart Harding,3
Jon Cleary,4
Farley Mowat,4
W.S. Gilbert,3
Patrick Loubert,0
Luigi Cozzi,4
Willy Russell,4
Joan Tewkesbury,3
Ron Shelton,5
David Ambrose,4
Carol Amen,3
Robert Ludlum,5
James R. Silke,4
Alice Hoffman,0
Tito Carpi,0
Thomas Meehan,4
Marshall Houts,3
Leslie Arliss,0
Juan Zanotto,3
Chauncey G. Parker III,0
Topper Carew,4
Graham Greene,0
Michael Leeson,3
Harold Robbins,0
Roderick Taylor,0
Ronald Harwood,5
Pat Conroy,5
Marjorie Kinnan Rawlings,0
Christopher Crowe,4
James McLendon,0
David S. Ward,4
Amy Robinson,0
Ruth Prawer Jhabvala,0
Dana Olsen,4
Ken Friedman,4
Amy Holden Jones,4
Danny Opatoshu,0
Lloyd Phillips,0
Bill Condon,5
Walter Farley,4
William Olsen,3
John Sayles,3
Gwen Davis,0
Marshall Brickman,4
Henry Bean,3
James Toback,4
Jeffrey Price,5
Bernard Slade,3
Russell W. Colgin,0
Erich Segal,3
Franco Solinas,0
Trevor Preston,3
Karen Jaehne-Lathan,0
Ken Barnett,0
Charles Burnett,3
Kevin Sellers,0
Ernest Tidyman,4
Herbert Kastle,0
Mark Pirro,0
Ray Connolly,0
Donald G. Payne,3
Tom Logan,0
James Cameron,5
Frank Herbert,0
Robert Mark Kamen,5
Harry Grey,0
Neal Israel,5
Willard Huyck,5
Robert J. Avrech,0
Wes Craven,5
Peter Shaffer,4
Daniel Petrie Jr.,5
Kevin Reynolds,4
Dean Pitchford,5
Tim Metcalfe,4
Chris Columbus,5
Diane Thomas,5
Walter Hill,0
L.M. Kit Carson,3
Christopher Guest,4
Michael Radford,4
Jonathan R. Betuel,4
Brian Grazer,5
Joel Coen,5
Bernard Malamud,4
Bob Israel,4
Hayao Miyazaki,5
Steve Greene,3
Eric Hughes,4
Robert Bolt,0
Parnell Hall,3
Jean-Loup Dabadie,4
Earl Mac Rauch,3
Alex Cox,0
Arthur C. Clarke,4
Bruce Robinson,0
William Kennedy,0
Bruce A. Evans,4
Thom Eberhardt,4
David Loughery,5
Michael Janover,0
John Derek,3
Jim Jarmusch,5
Stewart Raffill,4
E.M. Forster,5
Albert Magnoli,5
Peter Prince,3
David Newman,0
Arthur Silver,4
Edgar Rice Burroughs,4
Michael Cristofer,0
Just Jaeckin,3
Charles Parker,4
William Wharton,0
Angela Carter,3
Luca Bercovici,0
Rusty Lemorande,3
Steve Kloves,5
Paul Caimi,3
Vincent Patrick,4
Edwin Davis,4
Ken Hixon,3
Stu Krieger,5
Richard Tuggle,4
Phil Alden Robinson,5
Neal Marshall,4
Jim Kouf,5
Nancy Dowd,0
Steven Hager,3
W. Somerset Maugham,0
Dan Gordon,0
John C. Broderick,3
R. Lance Hill,4
Ron Koslow,0
Cesare Frugoni,0
W.R. McKinney,4
Tengiz Abuladze,0
Robert Dillon,0
Everett De Roche,3
Charles Fuller,4
David Taylor,4
Malcolm Lowry,3
Chip Proser,3
George LaFountaine,0
Loring Mandel,4
Philip John Taylor,0
Larry Anderson,3
Craig Bolotin,5
Robert Grossbach,3
Jonathan Reynolds,0
Mark Buntzman,3
Ann Biderman,4
Ed. Weinberger,3
Alan Rudolph,0
Gene Quintano,3
Éric Rohmer,3
Preston Sturges,4
Nicholas Kazan,4
Ron Nyswaner,5
Larry Grusin,3
Rick Natkin,4
Paul McCartney,0
Bud Shrake,3
Charles Dennis,0
Henry James,4
Desmond Nakano,0
Allan Burns,4
Janice Lee Graham,3
Jeffrey Alan Fiskin,0
Luigi Pirandello,0
Florence Montgomery,3
James Bridges,0
Mary Agnes Donoghue,4
Alan Bennett,0
Larry Cohen,5
Andrew Bergman,4
Daniel Petrie,3
Lawrence Dane,3
Bobby Roth,3
Bob Champion,3
Pierre Bost,3
Bill C. Davis,3
Chip Hand,0
Lawrence Bassoff,4
Arnold Somkin,3
Ken Cameron,0
Frank Cucci,0
Alan Janes,3
Adam Brooks,5
Donald Paonessa,0
Gene Taft,0
Gérard Lauzier,4
Robert Zemeckis,5
Gerald Petievich,4
Tom Benedek,5
Anna Hamilton Phelan,4
William Hjortsberg,0
Rudy Ricci,4
Joel Schumacher,4
Terry Gilliam,4
Michael Butler,4
Jeph Loeb,5
William Kelley,5
Menno Meyjes,5
Savage Steve Holland,4
Akira Kurosawa,5
Edward Khmara,0
Eric Luke,0
Gerard Soeteman,0
Joseph Minion,3
Gregory McDonald,5
David Chaskin,4
Jeremy Stevens,4
Colin Wilson,0
Phil Hartman,4
Karen Blixen,5
George A. Romero,5
Dennis Feldman,5
Fred Dekker,5
Lloyd Alexander,0
Djordje Milicevic,0
H.P. Lovecraft,0
George Barr McCutcheon,4
Louis Venosta,5
Mark Rosenthal,5
Leora Barish,4
Amy Spies,3
Terry Davis,4
Joe Eszterhas,5
Barry Longyear,0
Jette Rinck,4
Keith Critchlow,4
Dimitri Villard,3
Gordon Mitchell,3
Jackie Chan,4
Steve Bloom,0
James Goldman,4
Noel Black,4
Manuel Puig,4
Hanif Kureishi,3
Arthur Conan Doyle,3
Joyce Carol Oates,0
Robert Daley,3
Richard Condon,4
Craig Harrison,3
Jûzô Itami,3
William Malone,0
See-Yuen Ng,3
Arnold Schulman,0
Max Schott,4
Charles Purpura,4
Jeanne Rosenberg,4
Paul G. Hensler,4
Don Jakoby,4
H. Rider Haggard,0
Paul De Mielche,4
Rospo Pallenberg,4
Robert Lindsey,3
Jane Rule,3
Cary Medoway,3
Reidar Jönsson,4
Jane Bernstein,0
Lindsay Harrison,3
Stephen Gyllenhaal,3
Ben Zelig,4
Luc Besson,5
John McTiernan,3
Sam Shepard,3
Clifford Green,3
Ethan Coen,5
Charles Robert Carner,3
Robert Getchell,4
John Pielmeier,4
Hugh Wilson,4
Susan Shadburne,3
Elmore Leonard,5
Lloyd Fonvielle,0
Griff Rhys Jones,3
Reuben Bercovitch,3
David Hare,5
Andrew Birkin,4
Steve Bing,4
John Katzenbach,0
James Gregory Kingston,3
Aída Bortnik,3
Ralph Farquhar,4
Larry DiTillio,3
Jeremy Leven,5
Abdulah Sidran,3
Jeffrey Scott,0
Jack Finney,0
Paul Donovan,3
Peter Sauder,4
Albert Pyun,4
Shelagh Delaney,3
Dick Clement,5
Michael Ventura,0
Richard Brooks,0
Dylan Thomas,3
Nicholas Gage,3
Martin Stellman,5
Steven Horowitz,3
Susan Isaacs,5
Jean Chalopin,3
Alice Arlen,0
Coline Serreau,5
T. Michael Harry,0
Adam Friedman,3
Jovan Acin,0
Michael Jacobs,3
Ray Lawrence,0
Ronald Bass,5
István Szabó,4
Charles Davis,0
Peter Maas,3
Charles Grodin,3
Philippe Nicaud,3
Fionnula Flanagan,0
Russell Hoban,3
Ruggero Maccari,0
Renée Missel,0
Sig Shore,0
Élisabeth Rappeneau,0
Mordecai Richler,0
Roy Kissin,0
Cary Parker,3
Heywood Kling,3
Ronald Hugh Morrieson,0
Pascal Bonitzer,3
Brian Gilbert,0
Robert Geoffrion,3
Mehdi Charef,0
Kenneth Eastaugh,0
Petru Popescu,0
Caroline Huppert,0
Jim Cash,5
Paul Hogan,5
Dennis Lee,0
Gregory Widen,5
Gary Goldman,0
David Lynch,0
Thomas Harris,5
Steve Gerber,0
George Langelaan,4
Howard Ashman,4
Paul Theroux,0
Neal Jimenez,0
Elizabeth McNeill,0
S.S. Wilson,4
Umberto Eco,3
Walter Tevis,4
Angelo Pizzo,4
James Carabatsos,4
Mark H. Baker,4
Paula Gosling,0
Jerry Leichtling,4
Lizzie Borden,3
Steve Martin,5
Tom McLoughlin,4
David Giler,4
Philippe Djian,3
Domonic Muir,4
Kevin Alyn Elders,4
Richard Fire,3
Neil Jordan,4
Eric Red,4
Sam Bernard,3
Judy Freudberg,5
Luciano Vincenzoni,4
Peter Young,4
Dale Launer,5
Ron Friedman,0
Ezra Sacks,4
John Carl Buechler,3
Elliott Lewitt,0
Nick Castle,4
E. Max Frye,3
John Fusco,5
Jean M. Auel,0
Spike Lee,5
Lawrence Block,4
Carol Black,4
Mark Victor,4
Leos Carax,0
Charles Edward Pogue,4
Masanori Hata,4
Derek Jarman,3
Mark Medoff,4
Richard Blake,0
Pedro Almodóvar,5
René Fauchois,4
Danilo Bach,5
